Script started on Tue 28 Jan 2020 02:18:32 PM HST
This program generates a unit conversion tabled based on the integer given.
Please enter an integer: 
10
	inches	centimeters
	  0.00	       0.00
	  0.50	       1.27
	  1.00	       2.54
	  1.50	       3.81
	  2.00	       5.08
	  2.50	       6.35
	  3.00	       7.62
	  3.50	       8.89
	  4.00	      10.16
	  4.50	      11.43
	  5.00	      12.70
	  5.50	      13.97
	  6.00	      15.24
	  6.50	      16.51
	  7.00	      17.78
	  7.50	      19.05
	  8.00	      20.32
	  8.50	      21.59
	  9.00	      22.86
	  9.50	      24.13
	 10.00	      25.40
This program generates a unit conversion tabled based on the integer given.
Please enter an integer: 
5
	inches	centimeters
	  0.00	       0.00
	  0.50	       1.27
	  1.00	       2.54
	  1.50	       3.81
	  2.00	       5.08
	  2.50	       6.35
	  3.00	       7.62
	  3.50	       8.89
	  4.00	      10.16
	  4.50	      11.43
	  5.00	      12.70
This program generates a unit conversion tabled based on the integer given.
Please enter an integer: 
25
	inches	centimeters
	  0.00	       0.00
	  0.50	       1.27
	  1.00	       2.54
	  1.50	       3.81
	  2.00	       5.08
	  2.50	       6.35
	  3.00	       7.62
	  3.50	       8.89
	  4.00	      10.16
	  4.50	      11.43
	  5.00	      12.70
	  5.50	      13.97
	  6.00	      15.24
	  6.50	      16.51
	  7.00	      17.78
	  7.50	      19.05
	  8.00	      20.32
	  8.50	      21.59
	  9.00	      22.86
	  9.50	      24.13
	 10.00	      25.40
	 10.50	      26.67
	 11.00	      27.94
	 11.50	      29.21
	 12.00	      30.48
	 12.50	      31.75
	 13.00	      33.02
	 13.50	      34.29
	 14.00	      35.56
	 14.50	      36.83
	 15.00	      38.10
	 15.50	      39.37
	 16.00	      40.64
	 16.50	      41.91
	 17.00	      43.18
	 17.50	      44.45
	 18.00	      45.72
	 18.50	      46.99
	 19.00	      48.26
	 19.50	      49.53
	 20.00	      50.80
	 20.50	      52.07
	 21.00	      53.34
	 21.50	      54.61
	 22.00	      55.88
	 22.50	      57.15
	 23.00	      58.42
	 23.50	      59.69
	 24.00	      60.96
	 24.50	      62.23
	 25.00	      63.50
exit

Script done on Tue 28 Jan 2020 02:18:51 PM HST
